date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:20:37	22390/22390	---M--	200	added ('OK')	image/jpeg	etag:%2257cccda8-5776%22	http://tk-themes.net/html-umbra/images/product/product_1b.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/product/product_1b.jpg	(from http://tk-themes.net/html-umbra/)
15:20:37	27351/27351	---M--	200	added ('OK')	image/jpeg	etag:%2257cccd9d-6ad7%22	http://tk-themes.net/html-umbra/images/product/product_1.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/product/product_1.jpg	(from http://tk-themes.net/html-umbra/)
15:20:41	18641/18641	---M--	200	added ('OK')	image/jpeg	etag:%2257cccda9-48d1%22	http://tk-themes.net/html-umbra/images/product/product_2.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/product/product_2.jpg	(from http://tk-themes.net/html-umbra/)
15:20:42	21970/21970	---M--	200	added ('OK')	image/jpeg	etag:%2257cccdb3-55d2%22	http://tk-themes.net/html-umbra/images/product/product_2b.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/product/product_2b.jpg	(from http://tk-themes.net/html-umbra/)
15:20:44	17951/17951	---M--	200	added ('OK')	image/jpeg	etag:%2257cccdb4-461f%22	http://tk-themes.net/html-umbra/images/product/product_2c.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/product/product_2c.jpg	(from http://tk-themes.net/html-umbra/)
15:20:45	16999/16999	---M--	200	added ('OK')	image/jpeg	etag:%2257cccdb4-4267%22	http://tk-themes.net/html-umbra/images/product/product_2d.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/product/product_2d.jpg	(from http://tk-themes.net/html-umbra/)
15:20:48	20364/20364	---M--	200	added ('OK')	image/jpeg	etag:%2257cccdb5-4f8c%22	http://tk-themes.net/html-umbra/images/product/product_3.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/product/product_3.jpg	(from http://tk-themes.net/html-umbra/)
15:20:49	21085/21085	---M--	200	added ('OK')	image/jpeg	etag:%2257cccdc0-525d%22	http://tk-themes.net/html-umbra/images/product/product_3b.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/product/product_3b.jpg	(from http://tk-themes.net/html-umbra/)
15:20:49	485845/485845	---M--	200	added ('OK')	image/jpeg	etag:%2257cccdea-769d5%22	http://tk-themes.net/html-umbra/images/slider/slider_3.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/slider/slider_3.jpg	(from http://tk-themes.net/html-umbra/)
15:20:51	17904/17904	---M--	200	added ('OK')	image/jpeg	etag:%2257cccdc0-45f0%22	http://tk-themes.net/html-umbra/images/product/product_3c.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/product/product_3c.jpg	(from http://tk-themes.net/html-umbra/)
15:20:52	24547/24547	---M--	200	added ('OK')	image/jpeg	etag:%2257cccdc1-5fe3%22	http://tk-themes.net/html-umbra/images/product/product_4.jpg	D:/shoppingC/tk-themes.net/html-umbra/images/product/product_4.jpg	(from http://tk-themes.net/html-umbra/)
